"IDSample","AccX","AccY","AccZ"
532,0.07,0.063,0.691
533,0.079,0.052,0.685
534,0.083,0.044,0.7
535,0.081,0.038,0.734
536,0.079,0.035,0.78
537,0.079,0.038,0.832
538,0.086,0.049,0.882
539,0.099,0.066,0.927
540,0.116,0.081,0.961
541,0.132,0.09,0.978
542,0.141,0.09,0.977
543,0.14,0.085,0.957
544,0.131,0.079,0.918
545,0.115,0.077,0.865
546,0.096,0.077,0.805
547,0.076,0.077,0.748
548,0.057,0.073,0.705
549,0.037,0.065,0.683
550,0.015,0.055,0.688
551,-0.009,0.046,0.722
552,-0.032,0.041,0.781
553,-0.048,0.037,0.858
554,-0.053,0.031,0.942
555,-0.04,0.02,1.024
556,-0.011,0.006,1.096
557,0.03,-0.007,1.151
558,0.073,-0.012,1.184
559,0.109,-0.008,1.191
560,0.132,0.004,1.17
561,0.139,0.018,1.127
562,0.131,0.029,1.07
563,0.111,0.033,1.01
564,0.084,0.031,0.957
565,0.055,0.024,0.919
566,0.029,0.013,0.897
567,0.013,0.002,0.895
568,0.01,-0.008,0.909
569,0.022,-0.015,0.935
570,0.047,-0.017,0.967
571,0.078,-0.015,0.998
572,0.109,-0.01,1.025
573,0.132,-0.006,1.043
574,0.142,-0.004,1.054
575,0.137,-0.004,1.058
576,0.119,-0.003,1.058
577,0.089,0.002,1.054
578,0.055,0.015,1.048
579,0.02,0.032,1.04
580,-0.009,0.05,1.031
581,-0.029,0.06,1.02
582,-0.039,0.06,1.004
583,-0.035,0.047,0.982
584,-0.019,0.026,0.956
585,0.009,0.001,0.93
586,0.043,-0.023,0.914
587,0.075,-0.042,0.913
588,0.094,-0.054,0.933
589,0.095,-0.059,0.974
590,0.077,-0.057,1.029
591,0.048,-0.049,1.09
592,0.02,-0.037,1.146
593,0.003,-0.024,1.185
594,0.006,-0.011,1.2
595,0.027,0.003,1.187
596,0.061,0.016,1.147
597,0.095,0.025,1.085
598,0.122,0.026,1.007
599,0.136,0.019,0.922
600,0.135,0.004,0.836
601,0.124,-0.013,0.76
602,0.108,-0.026,0.703
603,0.09,-0.03,0.678
604,0.074,-0.026,0.693
605,0.058,-0.015,0.749
606,0.042,0.001,0.837
607,0.026,0.017,0.942
608,0.01,0.031,1.046
609,0,0.038,1.136
610,-0.002,0.033,1.197
611,0.007,0.017,1.224
612,0.026,-0.005,1.213
613,0.048,-0.029,1.164
614,0.071,-0.046,1.085
615,0.091,-0.054,0.987
616,0.11,-0.051,0.886
617,0.127,-0.039,0.8
618,0.139,-0.019,0.745
619,0.14,0.004,0.736
620,0.123,0.025,0.778
621,0.083,0.037,0.867
622,0.025,0.039,0.989
623,-0.037,0.032,1.119
624,-0.087,0.021,1.231
625,-0.11,0.013,1.306
626,-0.097,0.01,1.332
627,-0.055,0.011,1.31
628,0.005,0.015,1.246
629,0.066,0.018,1.149
630,0.113,0.02,1.032
631,0.139,0.02,0.91
632,0.144,0.021,0.794
633,0.134,0.025,0.699
634,0.116,0.032,0.634
635,0.092,0.044,0.607
636,0.064,0.062,0.62
637,0.031,0.087,0.667
638,-0.004,0.116,0.74
639,-0.036,0.145,0.824
640,-0.056,0.169,0.907
641,-0.056,0.18,0.975
642,-0.033,0.174,1.019
643,0.008,0.154,1.038
644,0.058,0.123,1.033
645,0.106,0.091,1.011
646,0.143,0.064,0.978
647,0.165,0.049,0.941
648,0.175,0.045,0.907
649,0.177,0.053,0.883
650,0.172,0.067,0.876
651,0.161,0.082,0.891
652,0.143,0.093,0.927
653,0.119,0.096,0.978
654,0.09,0.091,1.034
655,0.062,0.08,1.082
656,0.044,0.067,1.114
657,0.04,0.057,1.124
658,0.053,0.05,1.113
659,0.08,0.046,1.084
660,0.109,0.044,1.042
661,0.132,0.043,0.996
662,0.141,0.039,0.953
663,0.138,0.032,0.919
664,0.126,0.022,0.901
665,0.11,0.013,0.903
666,0.094,0.009,0.927
667,0.078,0.013,0.973
668,0.065,0.025,1.034
669,0.056,0.039,1.099
670,0.055,0.052,1.154
671,0.064,0.061,1.188
672,0.084,0.062,1.193
673,0.11,0.057,1.168
674,0.135,0.044,1.121
675,0.151,0.026,1.064
676,0.151,0.006,1.009
677,0.134,-0.01,0.964
678,0.102,-0.019,0.931
679,0.067,-0.017,0.91
680,0.038,-0.008,0.899
681,0.024,0.004,0.899
682,0.023,0.012,0.914
683,0.03,0.013,0.945
684,0.035,0.009,0.991
685,0.03,0,1.051
686,0.018,-0.013,1.116
687,0.006,-0.028,1.175
688,0.006,-0.042,1.216
689,0.026,-0.049,1.234
690,0.065,-0.043,1.228
691,0.114,-0.023,1.205
692,0.155,0.004,1.177
693,0.174,0.029,1.157
694,0.16,0.045,1.15
695,0.117,0.046,1.154
696,0.059,0.034,1.163
697,0.006,0.014,1.166
698,-0.024,-0.011,1.156
699,-0.022,-0.039,1.131
700,0.01,-0.066,1.093
701,0.061,-0.084,1.048
702,0.119,-0.087,1.006
703,0.17,-0.069,0.978
704,0.207,-0.033,0.968
705,0.225,0.01,0.979
706,0.225,0.048,1.004
707,0.21,0.071,1.033
708,0.187,0.08,1.054
709,0.162,0.079,1.058
710,0.14,0.079,1.046
711,0.123,0.084,1.023
712,0.108,0.094,0.997
713,0.09,0.106,0.973
714,0.067,0.115,0.956
715,0.043,0.117,0.947
716,0.025,0.109,0.945
717,0.024,0.087,0.95
718,0.046,0.052,0.965
719,0.087,0.007,0.992
720,0.134,-0.035,1.034
721,0.171,-0.062,1.092
722,0.185,-0.063,1.16
723,0.176,-0.036,1.23
724,0.152,0.01,1.288
725,0.127,0.063,1.322
726,0.115,0.107,1.324
727,0.118,0.136,1.294
728,0.135,0.149,1.239
729,0.155,0.151,1.171
730,0.168,0.147,1.101
731,0.169,0.146,1.037
